"Label","Type","Log","ID","equ","numCoeff","adj.r.sq","AIC","diffAIC","probAIC","rankAIC","rankRsq","shortAIC","shortRsq","shortBoth","selected","diffAICAll","probAICAll","rankAICAll","rankRsqAll","shortAICAll","shortRsqAll"
"None","none",FALSE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-1.01999999999998,0.600495578812271,3,7,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"None","none",FALSE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.782,438.406,-0.509000000000015,0.775304053090764,2,3,TRUE,TRUE,TRUE,FALSE,-10.88,0.00433948327073891,40,43,FALSE,FALSE
"None","none",FALSE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.767,440.015,-2.11799999999999,0.346802439426051,5,9,FALSE,FALSE,FALSE,FALSE,-12.489,0.00194110088569936,53,62,FALSE,FALSE
"None","none",FALSE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.761,440.631,-2.73399999999998,0.254870425057119,7,10,FALSE,FALSE,FALSE,FALSE,-13.105,0.00142654477470144,58,68,FALSE,FALSE
"None","none",FALSE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.772,440.394,-2.49700000000001,0.286934876534594,6,5,FALSE,FALSE,FALSE,FALSE,-12.868,0.00160601391357313,56,49,FALSE,FALSE
"None","none",FALSE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.78,439.48,-1.58300000000003,0.453164538409629,4,4,FALSE,FALSE,FALSE,FALSE,-11.954,0.00253642416221251,49,44,FALSE,FALSE
"None","none",FALSE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.758,441.819,-3.92200000000003,0.140717632905862,11,12,FALSE,FALSE,FALSE,FALSE,-14.293,0.000787615918501434,69,72,FALSE,FALSE
"None","none",FALSE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.761,442.327,-4.43000000000001,0.109153514248464,12,10,FALSE,FALSE,FALSE,FALSE,-14.801,0.000610947211142874,72,68,FALSE,FALSE
"None","none",FALSE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.801,437.897,0,1,1,1,TRUE,TRUE,TRUE,TRUE,-10.371,0.00559713734687633,38,37,FALSE,FALSE
"None","none",FALSE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.768,441.641,-3.74400000000003,0.153815722533427,9,7,FALSE,FALSE,FALSE,FALSE,-14.115,0.000860927725128612,67,52,FALSE,FALSE
"None","none",FALSE,11,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2 + Cov_PDO",4,0.769,441.45,-3.553,0.169229414898803,8,6,FALSE,FALSE,FALSE,FALSE,-13.924,0.000947200278320121,63,50,FALSE,FALSE
"None","none",FALSE,12,"Age_4 ~ -1 + Age_3 + (  Cov_ONI1 + Cov_ONI2 + Cov_PDO  )^2",7,0.786,441.73,-3.83300000000003,0.147120985513994,10,2,FALSE,TRUE,FALSE,FALSE,-14.204,0.000823456362529626,68,40,FALSE,FALSE
"Normalized","normalize",FALSE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-8.63299999999998,0.0133465146917511,12,12,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"Normalized","normalize",FALSE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.831,432.229,-1.94499999999999,0.378136514156057,2,5,FALSE,FALSE,FALSE,FALSE,-4.70299999999997,0.09522621570891,15,24,FALSE,FALSE
"Normalized","normalize",FALSE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.817,434.229,-3.94499999999999,0.139108649514247,9,11,FALSE,FALSE,FALSE,FALSE,-6.70299999999997,0.035031767019865,30,34,FALSE,FALSE
"Normalized","normalize",FALSE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.821,433.633,-3.34899999999999,0.187401856989124,5,9,FALSE,FALSE,FALSE,FALSE,-6.10699999999997,0.0471934578910614,24,31,FALSE,FALSE
"Normalized","normalize",FALSE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.823,434.226,-3.94200000000001,0.139317469064026,8,8,FALSE,FALSE,FALSE,FALSE,-6.69999999999999,0.0350843541008452,29,30,FALSE,FALSE
"Normalized","normalize",FALSE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.833,432.808,-2.524,0.283087285376807,4,4,FALSE,FALSE,FALSE,FALSE,-5.28199999999998,0.0712899439555745,22,22,FALSE,FALSE
"Normalized","normalize",FALSE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.818,434.94,-4.65600000000001,0.0974905333049983,11,10,FALSE,FALSE,FALSE,FALSE,-7.41399999999999,0.024551066100554,33,33,FALSE,FALSE
"Normalized","normalize",FALSE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.831,433.968,-3.68400000000003,0.158500108677906,6,5,FALSE,FALSE,FALSE,FALSE,-6.44200000000001,0.0399151231732647,27,24,FALSE,FALSE
"Normalized","normalize",FALSE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.842,432.311,-2.02699999999999,0.362946441383903,3,3,FALSE,TRUE,FALSE,FALSE,-4.78499999999997,0.0914008957721048,17,16,FALSE,FALSE
"Normalized","normalize",FALSE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.855,430.284,0,1,1,1,TRUE,TRUE,TRUE,TRUE,-2.75799999999998,0.251830257444035,6,5,FALSE,FALSE
"Normalized","normalize",FALSE,11,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2 + Cov_PDO",4,0.83,434.077,-3.79300000000001,0.150093026567435,7,7,FALSE,FALSE,FALSE,FALSE,-6.55099999999999,0.0377979655210316,28,26,FALSE,FALSE
"Normalized","normalize",FALSE,12,"Age_4 ~ -1 + Age_3 + (  Cov_ONI1 + Cov_ONI2 + Cov_PDO  )^2",7,0.843,434.357,-4.07300000000004,0.130484608722329,10,2,FALSE,TRUE,FALSE,FALSE,-6.83100000000002,0.0328599726070284,31,13,FALSE,FALSE
"Standardized","standardize",FALSE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-1.37599999999998,0.502580225025434,3,7,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"Standardized","standardize",FALSE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.784,438.217,-0.675999999999988,0.713195287898287,2,3,FALSE,TRUE,FALSE,FALSE,-10.691,0.0047695658261315,39,41,FALSE,FALSE
"Standardized","standardize",FALSE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.768,439.915,-2.37400000000002,0.305135298224612,5,7,FALSE,FALSE,FALSE,FALSE,-12.389,0.00204062325628561,52,52,FALSE,FALSE
"Standardized","standardize",FALSE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.762,440.477,-2.93599999999998,0.230385796314791,7,11,FALSE,FALSE,FALSE,FALSE,-12.951,0.00154072838053556,57,67,FALSE,FALSE
"Standardized","standardize",FALSE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.773,440.204,-2.66300000000001,0.264080842796079,6,5,FALSE,FALSE,FALSE,FALSE,-12.678,0.00176606742151641,54,47,FALSE,FALSE
"Standardized","standardize",FALSE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.784,439.078,-1.53699999999998,0.463708109063944,4,3,FALSE,TRUE,FALSE,FALSE,-11.552,0.00310109501257231,47,41,FALSE,FALSE
"Standardized","standardize",FALSE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.76,441.617,-4.07600000000002,0.130289028531061,11,12,FALSE,FALSE,FALSE,FALSE,-14.091,0.00087132109331918,66,70,FALSE,FALSE
"Standardized","standardize",FALSE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.763,442.126,-4.58499999999998,0.101013611893393,12,10,FALSE,FALSE,FALSE,FALSE,-14.6,0.000675538775193856,71,66,FALSE,FALSE
"Standardized","standardize",FALSE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.804,437.541,0,1,1,1,TRUE,TRUE,TRUE,TRUE,-10.015,0.0066876014284768,37,35,FALSE,FALSE
"Standardized","standardize",FALSE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.768,441.564,-4.02300000000002,0.133787842318719,10,7,FALSE,FALSE,FALSE,FALSE,-14.038,0.000894719765403492,65,52,FALSE,FALSE
"Standardized","standardize",FALSE,11,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2 + Cov_PDO",4,0.773,441.031,-3.49000000000001,0.17464498896681,8,5,FALSE,FALSE,FALSE,FALSE,-13.505,0.00116795607769075,61,47,FALSE,FALSE
"Standardized","standardize",FALSE,12,"Age_4 ~ -1 + Age_3 + (  Cov_ONI1 + Cov_ONI2 + Cov_PDO  )^2",7,0.79,441.276,-3.73500000000001,0.154509453007726,9,2,FALSE,TRUE,FALSE,FALSE,-13.75,0.00103329763864764,62,39,FALSE,FALSE
"Log","none",TRUE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-11.391,0.00336105623080428,8,9,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"Log","none",TRUE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.769,439.764,-12.238,0.00220065551860006,9,8,FALSE,FALSE,FALSE,FALSE,-12.238,0.00220065551860006,50,50,FALSE,FALSE
"Log","none",TRUE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.764,440.305,-12.779,0.00167909553930694,10,11,FALSE,FALSE,FALSE,FALSE,-12.779,0.00167909553930694,55,65,FALSE,FALSE
"Log","none",TRUE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.841,430.746,-3.21999999999997,0.199887614075147,4,5,FALSE,FALSE,FALSE,FALSE,-3.21999999999997,0.199887614075147,9,18,FALSE,FALSE
"Log","none",TRUE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.76,441.562,-14.036,0.000895614932677939,11,12,FALSE,FALSE,FALSE,FALSE,-14.036,0.000895614932677939,64,70,FALSE,FALSE
"Log","none",TRUE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.85,430.282,-2.75599999999997,0.252082213658592,3,3,FALSE,FALSE,FALSE,FALSE,-2.75599999999997,0.252082213658592,5,7,FALSE,FALSE
"Log","none",TRUE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.834,432.724,-5.19799999999998,0.0743478889417201,7,7,FALSE,FALSE,FALSE,FALSE,-5.19799999999998,0.0743478889417201,21,21,FALSE,FALSE
"Log","none",TRUE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.765,441.864,-14.338,0.000770092438747959,12,10,FALSE,FALSE,FALSE,FALSE,-14.338,0.000770092438747959,70,64,FALSE,FALSE
"Log","none",TRUE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.867,428.159,-0.632999999999981,0.728695011559791,2,2,FALSE,TRUE,FALSE,FALSE,-0.632999999999981,0.728695011559791,2,2,FALSE,TRUE
"Log","none",TRUE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.84,432.668,-5.142,0.0764590481335077,6,6,FALSE,FALSE,FALSE,FALSE,-5.142,0.0764590481335077,20,19,FALSE,FALSE
"Log","none",TRUE,11,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2 + Cov_PDO",4,0.844,432.059,-4.53300000000002,0.103674406239391,5,4,FALSE,FALSE,FALSE,FALSE,-4.53300000000002,0.103674406239391,14,11,FALSE,FALSE
"Log","none",TRUE,12,"Age_4 ~ -1 + Age_3 + (  Cov_ONI1 + Cov_ONI2 + Cov_PDO  )^2",7,0.882,427.526,0,1,1,1,TRUE,TRUE,TRUE,TRUE,0,1,1,1,TRUE,TRUE
"LogNormalized","normalize",TRUE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-9.90599999999995,0.00706219054575388,12,12,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"LogNormalized","normalize",TRUE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.838,431.259,-2.24799999999999,0.324977282206066,4,8,FALSE,TRUE,FALSE,FALSE,-3.733,0.154664039741219,11,20,FALSE,FALSE
"LogNormalized","normalize",TRUE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.83,432.438,-3.42699999999996,0.180233868854638,7,10,FALSE,FALSE,FALSE,FALSE,-4.91199999999998,0.0857773751630174,18,26,FALSE,FALSE
"LogNormalized","normalize",TRUE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.853,429.011,0,1,1,1,TRUE,TRUE,TRUE,TRUE,-1.48500000000001,0.475922620471507,4,6,FALSE,FALSE
"LogNormalized","normalize",TRUE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.83,433.253,-4.24199999999996,0.119911656878762,9,10,FALSE,FALSE,FALSE,FALSE,-5.72699999999998,0.0570686699668204,23,26,FALSE,FALSE
"LogNormalized","normalize",TRUE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.846,430.859,-1.84799999999996,0.396928148825891,3,4,FALSE,TRUE,FALSE,FALSE,-3.33299999999997,0.188907084728122,10,10,FALSE,FALSE
"LogNormalized","normalize",TRUE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.847,430.743,-1.73199999999997,0.420630711530319,2,3,FALSE,TRUE,FALSE,FALSE,-3.21699999999998,0.200187670482304,8,9,FALSE,FALSE
"LogNormalized","normalize",TRUE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.832,433.791,-4.77999999999997,0.0916296838775061,10,9,FALSE,FALSE,FALSE,FALSE,-6.26499999999999,0.0436086392639585,26,23,FALSE,FALSE
"LogNormalized","normalize",TRUE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.842,432.44,-3.42899999999997,0.180053725072686,8,7,FALSE,TRUE,FALSE,FALSE,-4.91399999999999,0.0856916406622489,19,16,FALSE,FALSE
"LogNormalized","normalize",TRUE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.844,432.038,-3.02699999999999,0.220138144532931,6,5,FALSE,TRUE,FALSE,FALSE,-4.512,0.104768722611848,13,11,FALSE,FALSE
"LogNormalized","normalize",TRUE,11,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2 + Cov_PDO",4,0.848,431.504,-2.49299999999999,0.28750932054019,5,2,FALSE,TRUE,FALSE,FALSE,-3.97800000000001,0.13683218924147,12,8,FALSE,FALSE
"LogNormalized","normalize",TRUE,12,"Age_4 ~ -1 + Age_3 + (  Cov_ONI1 + Cov_ONI2 + Cov_PDO  )^2",7,0.843,434.385,-5.37399999999997,0.0680848879597985,11,6,FALSE,TRUE,FALSE,FALSE,-6.85899999999998,0.0324031382923362,32,13,FALSE,FALSE
"LogStandardized","standardize",TRUE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-9.90699999999998,0.00705866033310759,8,10,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"LogStandardized","standardize",TRUE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.774,439.238,-10.228,0.00601198681624798,9,9,FALSE,FALSE,FALSE,FALSE,-11.712,0.00286267149780353,48,46,FALSE,FALSE
"LogStandardized","standardize",TRUE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.768,439.863,-10.853,0.00439846351578818,10,10,FALSE,FALSE,FALSE,FALSE,-12.337,0.00209437520833316,51,52,FALSE,FALSE
"LogStandardized","standardize",TRUE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.802,436.054,-7.04399999999998,0.0295402954569806,6,6,FALSE,FALSE,FALSE,FALSE,-8.52799999999996,0.0140659260284555,35,36,FALSE,FALSE
"LogStandardized","standardize",TRUE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.767,440.893,-11.883,0.0026280845660901,12,12,FALSE,FALSE,FALSE,FALSE,-13.367,0.00125139043233277,60,62,FALSE,FALSE
"LogStandardized","standardize",TRUE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.828,433.645,-4.63499999999999,0.0985195769294087,4,4,FALSE,FALSE,FALSE,FALSE,-6.11899999999997,0.046911144929538,25,29,FALSE,FALSE
"LogStandardized","standardize",TRUE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.801,437.043,-8.03300000000002,0.0180159104071025,7,7,FALSE,FALSE,FALSE,FALSE,-9.517,0.00857846745272486,36,37,FALSE,FALSE
"LogStandardized","standardize",TRUE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.776,440.762,-11.752,0.00280598680426006,11,8,FALSE,FALSE,FALSE,FALSE,-13.236,0.00133610047614528,59,45,FALSE,FALSE
"LogStandardized","standardize",TRUE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.863,429.01,0,1,1,2,TRUE,TRUE,TRUE,TRUE,-1.48399999999998,0.476160641281994,3,4,FALSE,TRUE
"LogStandardized","standardize",TRUE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.843,432.278,-3.26800000000003,0.195147421179165,3,3,FALSE,FALSE,FALSE,FALSE,-4.75200000000001,0.0929215212131984,16,13,FALSE,FALSE
"LogStandardized","standardize",TRUE,11,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2 + Cov_PDO",4,0.819,435.606,-6.596,0.0369570075515794,5,5,FALSE,FALSE,FALSE,FALSE,-8.07999999999998,0.0175974724156235,34,32,FALSE,FALSE
"LogStandardized","standardize",TRUE,12,"Age_4 ~ -1 + Age_3 + (  Cov_ONI1 + Cov_ONI2 + Cov_PDO  )^2",7,0.865,430.715,-1.70499999999998,0.426347729178156,2,1,FALSE,TRUE,FALSE,FALSE,-3.18899999999996,0.203010008134593,7,3,FALSE,TRUE
